,fecha,hora,edad,genero,barrio,pregunta_1,pregunta_2,pregunta_3,pregunta_4,pregunta_5,pregunta_6,pregunta_7,pregunta_8,pregunta_9,pregunta_10,pregunta_11,pregunta_12,pregunta_13,barrio_completo,poblacion_por_barrio
96,2019-06-05,05:47:00,17,Mujer,Flores,B,C,C,B,B,B,C,B,B,C,C,C,C,Flores,164310
97,2019-06-05,03:27:00,23,Mujer,Otro,A,B,A,B,A,B,B,C,C,C,C,B,B,Liniers,44132
98,2019-06-05,00:07:00,30,Mujer,Palermo,A,C,A,A,A,A,C,B,B,A,A,A,B,Palermo,226534
99,2019-06-04,22:32:00,23,Mujer,Otro,C,C,C,C,C,C,C,C,C,C,C,C,C,Villa santa rita,33325
100,2019-06-04,21:58:00,31,Mujer,Parque chacabuco,A,B,B,A,A,B,B,B,B,A,A,C,B,Parque chacabuco,56281
101,2019-06-04,21:45:00,25,Mujer,Otro,A,A,A,A,A,A,C,C,C,A,A,A,C,Parque chas,17489
102,2019-06-04,21:22:00,20,Hombre,Villa lugano,B,C,B,C,C,C,C,C,C,C,C,B,C,Villa lugano,126374
103,2019-06-04,21:18:00,20,Hombre,Otro,C,C,C,C,C,C,C,C,C,C,C,C,C,Almagro,131699
104,2019-06-04,21:17:00,26,Mujer,Otro,A,A,A,B,A,B,A,B,A,B,B,A,C,Parque avellaneda,53229
105,2019-06-04,20:49:00,52,Mujer,Otro,A,A,A,A,A,A,A,A,A,A,A,A,A,Villa devoto,66521
106,2019-06-04,20:19:00,23,Mujer,Otro,C,C,A,C,C,C,C,B,C,C,C,B,B,Boedo,47306
107,2019-06-04,20:16:00,28,Mujer,Otro,C,C,C,C,C,C,C,C,C,C,A,C,C,Boca,45113
108,2019-06-04,19:54:00,36,Mujer,Otro,C,B,B,B,C,C,B,B,B,C,C,C,C,Paternal,19717
109,2019-06-04,19:37:00,25,Mujer,Otro,C,A,B,B,C,C,B,A,C,C,B,B,C,Monserrat,39914
110,2019-06-04,17:41:00,34,Mujer,Almagro,C,C,C,A,B,A,C,B,B,C,B,C,C,Almagro,131699
111,2019-06-04,15:46:00,27,Mujer,Otro,B,C,B,C,B,A,C,B,C,C,B,B,B,Villa riachuelo,14084
112,2019-06-04,15:35:00,28,Mujer,Balvanera,C,C,B,A,C,A,B,B,B,C,C,B,C,Balvanera,138926
113,2019-06-04,14:06:00,26,Mujer,Caballito,B,C,C,B,C,C,C,B,C,C,A,C,C,Caballito,176076
114,2019-06-04,13:56:00,30,Mujer,Balvanera,A,A,B,B,A,B,A,B,C,C,A,B,B,Balvanera,138926
115,2019-06-04,10:33:00,32,Mujer,Recoleta,C,C,C,C,C,B,C,C,C,C,C,C,C,Recoleta,157932
116,2019-06-04,10:32:00,21,Mujer,Otro,B,C,B,C,A,A,B,C,C,C,B,C,B,Villa santa rita,33325
117,2019-06-04,09:36:00,25,Mujer,Otro,C,B,C,C,C,C,B,B,C,C,C,C,C,Colegiales,52551
118,2019-06-04,09:14:00,18,Mujer,Puerto madero,C,C,C,B,C,B,C,C,C,C,B,C,C,Puerto madero,6726
119,2019-06-04,04:39:00,35,Mujer,Otro,B,C,B,B,B,B,B,B,C,C,B,C,B,Caballito,176076
120,2019-06-04,03:20:00,29,Hombre,Otro,B,A,C,C,C,C,C,A,C,C,C,B,C,Belgrano,126267
121,2019-06-04,03:15:00,22,Mujer,Otro,A,A,A,A,A,B,C,B,C,C,B,B,C,Boca,45113
122,2019-06-04,02:01:00,23,Mujer,Otro,B,B,A,A,A,B,B,C,B,C,B,A,B,Mataderos,64436
123,2019-06-04,01:19:00,23,Mujer,Floresta,A,C,B,C,B,B,C,C,C,C,B,B,C,Floresta,37575
124,2019-06-04,00:27:00,24,Mujer,Parque patricios,B,B,C,C,B,C,B,B,C,C,B,A,C,Parque patricios,40985
125,2019-06-04,00:08:00,34,Mujer,Otro,B,B,B,A,B,B,A,A,B,C,C,A,C,Villa devoto,66521
126,2019-06-03,23:59:00,26,Hombre,Belgrano,C,C,C,C,C,C,C,C,C,C,C,B,C,Belgrano,126267
127,2019-06-03,22:54:00,24,Mujer,Otro,C,C,B,A,C,B,B,B,B,C,C,B,C,Palermo,226534
128,2019-06-03,22:22:00,20,Mujer,Otro,A,A,B,B,B,B,B,A,B,A,A,A,A,Parque chacabuco,56281
129,2019-06-03,21:51:00,32,Mujer,Montserrat,C,B,C,B,C,B,B,B,C,C,C,C,C,Monserrat,39914
130,2019-06-03,19:39:00,29,Hombre,Otro,A,A,A,B,A,A,C,B,B,B,B,A,C,Saavedra,50295
131,2019-06-03,19:37:00,32,Hombre,Otro,C,C,C,C,C,C,C,C,C,C,C,C,C,Villa soldati,46779
132,2019-06-03,18:56:00,22,Mujer,Villa crespo,B,B,A,A,B,B,B,B,B,C,A,C,B,Villa crespo,81959
133,2019-06-03,18:44:00,32,Mujer,Caballito,B,B,B,B,A,A,B,B,B,B,A,A,C,Caballito,176076
134,2019-06-03,18:34:00,34,Mujer,Otro,B,A,A,A,A,B,B,B,B,A,C,A,B,Floresta,37575
135,2019-06-03,18:11:00,31,Hombre,Balvanera,A,A,A,C,A,C,A,C,C,A,A,A,C,Balvanera,138926
136,2019-06-03,18:07:00,45,Mujer,Balvanera,B,C,C,B,C,C,A,B,C,C,C,A,B,Balvanera,138926
137,2019-06-03,16:59:00,26,Mujer,Otro,B,B,C,B,B,C,C,C,C,C,B,C,B,Villa urquiza,91563
138,2019-06-03,16:39:00,24,Mujer,Villa urquiza,B,B,B,C,B,C,C,C,C,B,C,B,C,Villa urquiza,91563
139,2019-06-03,16:36:00,20,Mujer,San cristobal,A,B,A,A,B,A,B,B,A,B,A,A,B,San cristobal,48611
140,2019-06-03,16:35:00,35,Hombre,Otro,A,A,A,B,A,A,A,C,C,C,C,C,C,Boedo,47306
141,2019-06-03,16:19:00,37,Mujer,Otro,B,C,C,A,A,A,B,A,B,C,A,C,C,Almagro,131699
142,2019-06-03,15:11:00,30,Mujer,Almagro,B,B,B,C,B,B,C,C,B,C,C,C,C,Almagro,131699
143,2019-06-03,14:59:00,26,Mujer,Caballito,C,C,C,C,C,C,C,C,C,C,C,C,C,Caballito,176076
144,2019-06-03,14:21:00,30,Mujer,Villa pueyrredon,B,C,B,B,C,B,C,B,C,C,A,C,C,Villa pueyrredon,39654
145,2019-06-03,14:02:00,20,Mujer,Otro,C,C,C,C,C,C,C,C,C,C,B,C,B,Parque chacabuco,56281
146,2019-06-03,14:02:00,32,Mujer,Otro,C,C,C,C,C,C,C,C,C,C,C,C,C,Villa santa rita,33325
147,2019-06-03,12:36:00,27,Hombre,Otro,B,B,A,B,C,B,C,B,C,C,B,A,C,Villa pueyrredon,39654
148,2019-06-03,12:32:00,24,Mujer,Otro,B,C,C,A,B,C,B,B,C,C,B,C,A,Villa santa rita,33325
149,2019-06-03,12:16:00,26,Mujer,Otro,A,A,A,B,C,B,C,C,C,C,C,A,B,Villa luro,32502
150,2019-06-03,11:18:00,29,Hombre,Otro,C,A,C,B,C,C,B,C,C,C,C,C,C,Villa del parque,55273
151,2019-06-03,10:58:00,22,Mujer,Otro,B,B,A,B,C,C,B,C,C,C,C,C,C,Villa luro,32502
152,2019-06-03,10:12:00,25,Mujer,Caballito,C,C,C,C,C,C,C,C,C,C,A,C,C,Caballito,176076
153,2019-06-03,09:59:00,29,Mujer,Chacarita,B,C,C,B,B,B,C,C,C,C,C,B,C,Chacarita,27761
154,2019-06-03,09:32:00,25,Mujer,Belgrano,A,C,A,A,C,C,C,A,A,C,C,C,A,Belgrano,126267
155,2019-06-03,09:23:00,30,Mujer,Otro,A,B,B,B,B,B,C,C,C,C,A,C,C,Colegiales,52551
156,2019-06-03,08:49:00,25,Mujer,Otro,B,C,A,A,B,A,A,A,B,C,A,A,A,Velez sarsfield,35081
157,2019-06-03,08:38:00,29,Hombre,Balvanera,C,C,C,C,C,B,C,C,C,C,C,C,C,Balvanera,138926
158,2019-06-03,08:33:00,25,Mujer,Belgrano,C,C,B,C,C,C,C,C,C,C,C,C,C,Belgrano,126267
159,2019-06-03,07:59:00,31,Mujer,Agronomia,C,C,C,B,C,C,B,B,B,C,C,C,C,Agronomia,13912
160,2019-06-03,07:47:00,31,Mujer,Otro,B,B,B,A,C,B,C,B,C,B,A,C,C,Versalles,13822
161,2019-06-03,06:10:00,31,Mujer,Otro,B,C,C,C,C,B,C,C,C,C,B,C,C,Villa del parque,55273
162,2019-06-03,04:31:00,34,Mujer,Barracas,C,C,C,A,B,B,B,B,B,C,C,C,C,Barracas,89452
163,2019-06-03,04:22:00,38,Mujer,Otro,A,C,A,A,A,A,A,A,A,A,C,B,B,Parque chacabuco,56281
164,2019-06-03,03:35:00,29,Mujer,Mataderos,A,A,B,B,B,A,A,B,B,C,B,B,C,Mataderos,64436
165,2019-06-03,03:17:00,18,Mujer,Otro,C,C,C,B,C,C,C,C,C,C,A,A,B,Paternal,19717
166,2019-06-03,03:14:00,18,Mujer,Otro,C,C,C,C,C,C,C,C,C,C,C,C,C,Villa soldati,46779
167,2019-06-03,02:56:00,21,Mujer,Otro,B,A,A,A,A,A,C,C,B,A,A,A,C,Villa ortuzar,21736
168,2019-06-03,02:23:00,36,Mujer,Palermo,C,C,C,B,C,C,C,B,C,C,C,C,C,Palermo,226534
169,2019-06-03,02:20:00,55,Mujer,San telmo,B,C,C,B,B,A,C,B,B,B,C,C,C,San telmo,20453
170,2019-06-03,02:19:00,32,Mujer,Otro,C,C,C,B,C,B,A,B,C,C,C,B,B,Chacarita,27761
171,2019-06-03,02:09:00,27,Mujer,Villa devoto,C,C,B,B,C,C,C,C,C,C,C,B,C,Villa devoto,66521
172,2019-06-03,01:57:00,22,Mujer,Otro,A,C,B,A,A,B,B,B,B,B,A,A,C,Chacarita,27761
173,2019-06-03,01:55:00,33,Mujer,Otro,C,C,C,A,C,C,B,B,B,C,C,C,C,Caballito,176076
174,2019-06-03,01:54:00,40,Mujer,Agronomia,B,B,A,A,B,B,B,C,C,C,C,C,B,Agronomia,13912
175,2019-06-03,01:53:00,33,Mujer,Palermo,B,B,C,C,B,C,C,C,C,C,C,C,C,Palermo,226534
176,2019-06-03,01:50:00,29,Mujer,Otro,A,B,B,B,A,A,B,A,B,B,A,A,B,Retiro,65413
177,2019-06-03,01:42:00,40,Hombre,Barracas,C,C,C,C,C,C,C,C,C,C,C,C,C,Barracas,89452
178,2019-06-03,01:39:00,27,Mujer,Parque chacabuco,A,C,B,B,C,C,C,C,C,C,B,B,C,Parque chacabuco,56281
179,2019-06-03,01:39:00,35,Hombre,Belgrano,A,A,A,B,B,B,B,B,B,C,A,B,C,Belgrano,126267
180,2019-06-03,01:37:00,45,Mujer,Agronomia,C,C,C,A,B,C,C,B,A,A,B,C,C,Agronomia,13912
181,2019-06-03,01:18:00,28,Mujer,Otro,C,C,C,B,C,B,B,B,C,C,C,C,C,Villa devoto,66521
182,2019-06-03,01:17:00,33,Hombre,Otro,B,C,B,A,B,B,C,C,B,C,B,B,C,Parque chas,17489
183,2019-06-03,01:02:00,35,Mujer,Saavedra,B,B,B,A,A,B,B,B,B,B,B,A,B,Saavedra,50295
184,2019-06-03,00:58:00,26,Mujer,Caballito,C,C,C,A,C,B,C,B,B,C,C,C,C,Caballito,176076
185,2019-06-03,00:56:00,25,Mujer,Coghlan,B,C,C,C,C,C,C,C,C,C,C,B,C,Coghlan,18604
186,2019-06-03,00:49:00,46,Hombre,Recoleta,A,C,B,A,A,A,A,A,B,C,B,A,B,Recoleta,157932
187,2019-06-03,00:46:00,32,Mujer,Chacarita,A,C,C,B,B,C,C,B,C,C,C,B,C,Chacarita,27761
188,2019-06-03,00:46:00,48,Mujer,Recoleta,C,C,B,C,C,C,B,C,C,C,C,C,C,Recoleta,157932
189,2019-06-03,00:45:00,34,Mujer,Saavedra,A,A,A,A,B,B,A,A,B,C,B,A,C,Saavedra,50295
190,2019-06-03,00:44:00,34,Mujer,Otro,C,C,C,B,B,B,B,B,B,C,C,C,B,Palermo,226534
191,2019-06-03,00:43:00,20,Mujer,Otro,B,A,C,B,C,A,A,B,C,B,B,A,C,San nicolas,29273
192,2019-06-03,00:38:00,26,Mujer,Nunez,A,B,A,B,B,B,B,B,B,B,A,B,A,Nunez,51949
193,2019-06-03,00:36:00,33,Hombre,Otro,B,C,C,C,B,B,C,B,C,C,C,C,C,Barracas,89452
194,2019-06-03,00:36:00,26,Mujer,Villa urquiza,C,C,B,C,C,C,C,C,C,C,C,C,C,Villa urquiza,91563
195,2019-06-03,00:32:00,28,Mujer,Flores,B,C,C,C,C,B,C,B,C,C,C,C,C,Flores,164310
196,2019-06-03,00:24:00,24,Mujer,Otro,A,A,A,A,B,A,C,A,C,A,A,A,B,San telmo,20453
197,2019-06-03,00:19:00,25,Mujer,Flores,A,B,A,A,A,A,A,B,C,B,B,C,C,Flores,164310
198,2019-06-03,00:14:00,31,Mujer,Chacarita,B,C,B,B,C,C,B,B,C,C,B,A,B,Chacarita,27761
199,2019-06-03,00:10:00,45,Mujer,Otro,B,A,C,B,A,B,C,B,C,C,A,A,C,Palermo,226534
200,2019-06-03,00:04:00,20,Mujer,Caballito,A,B,A,B,A,A,A,A,A,A,A,B,A,Caballito,176076
201,2019-06-03,00:04:00,35,Mujer,Almagro,A,A,B,C,A,C,B,C,C,B,C,C,C,Almagro,131699
202,2019-06-03,00:02:00,37,Mujer,Caballito,C,C,B,B,C,B,C,C,C,C,B,C,C,Caballito,176076
203,2019-06-03,00:00:00,27,Mujer,Palermo,A,A,A,A,A,A,A,A,A,A,A,A,A,Palermo,226534
204,2019-06-03,00:00:00,35,Mujer,Barracas,A,B,B,A,C,C,B,C,B,C,C,B,C,Barracas,89452
205,2019-06-02,23:58:00,27,Mujer,Colegiales,B,C,C,B,C,C,C,C,C,C,C,A,C,Colegiales,52551
206,2019-06-02,23:58:00,30,Mujer,Otro,B,B,A,B,B,A,B,B,C,C,B,C,B,Velez sarsfield,35081
207,2019-06-02,23:55:00,36,Hombre,Mataderos,B,C,A,B,C,C,C,B,C,C,B,C,C,Mataderos,64436
208,2019-06-02,23:53:00,29,Mujer,Palermo,C,C,C,B,B,C,C,C,B,C,B,C,C,Palermo,226534
209,2019-06-02,23:53:00,35,Mujer,Belgrano,C,C,C,B,B,C,A,B,C,C,B,C,C,Belgrano,126267
210,2019-06-02,23:49:00,29,Hombre,Palermo,B,C,C,B,C,C,C,B,B,C,C,C,C,Palermo,226534
211,2019-06-02,23:42:00,40,Mujer,Saavedra,A,A,A,A,B,B,B,B,B,C,A,B,B,Saavedra,50295
212,2019-06-02,23:40:00,31,Mujer,Agronomia,A,B,B,B,B,C,B,C,C,C,C,B,C,Agronomia,13912
213,2019-06-02,23:39:00,24,Mujer,Recoleta,A,A,A,B,B,A,B,B,B,C,B,C,C,Recoleta,157932
214,2019-06-02,23:37:00,35,Hombre,Agronomia,B,B,B,B,C,C,B,C,C,C,B,B,C,Agronomia,13912
215,2019-06-02,23:36:00,36,Mujer,Almagro,C,C,B,A,C,C,B,B,B,C,A,B,A,Almagro,131699
216,2019-06-02,23:33:00,39,Mujer,Otro,C,C,B,A,A,A,B,B,B,B,A,A,A,Puerto madero,6726
217,2019-06-02,23:27:00,30,Mujer,Barracas,C,C,C,B,B,B,C,B,B,C,B,C,C,Barracas,89452
218,2019-06-02,23:26:00,37,Hombre,Otro,B,C,C,B,C,C,B,B,B,C,C,B,C,Agronomia,13912
219,2019-06-02,23:24:00,27,Mujer,Otro,B,C,C,A,B,C,C,B,B,C,B,C,B,Parque avellaneda,53229
220,2019-06-02,23:23:00,49,Mujer,Belgrano,B,A,A,A,A,A,B,B,B,A,A,A,C,Belgrano,126267
